,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,2018-01-04,single,[],242161,0,2iLGgm4O5Hia8aSfSzXS3H,1,9,0.902,0.435,0.274,0.0,0.158,-7.84,0.0358,0.422,136.123,3
1,The One,Memories...Do Not Open,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,2017-04-07,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",177573,60,0wfbD5rAksdXUzRvMfM3x5,1,2,0.238,0.76,0.303,8.09e-06,0.294,-11.362,0.0284,0.15,99.991,4
2,How Long,How Long,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,2017-10-05,single,[],198237,3,32DGGj6KlNuBr6WaqRxpxi,0,1,0.189,0.849,0.581,3.61e-06,0.0805,-5.243,0.0767,0.779,110.008,4
3,Fever,GFRIEND The 7th Mini Album `FEVER SEASON`,GFRIEND,0qlWcS66ohOIi0M8JZwPft,2019-07-01,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",214293,60,7qDbAc6xMW07T7yyMnQqS8,1,1,0.208,0.764,0.836,0.0,0.234,-2.868,0.0396,0.51,111.934,4
4,Easier – Remix (with Charlie Puth),Easier – Remix (with Charlie Puth),5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,2019-08-13,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",157325,63,5iTaLzgPI5jRMVAxITcZwT,1,5,0.469,0.418,0.445,0.0,0.123,-5.407,0.227,0.608,175.686,4
5,I Miss You,Guardian (Original Television Soundtrack) Part 7,SOYOU,3b4kLCI0ZJW47TFsNRqgCb,2016-12-31,single,[],169448,5,3SfbB0Y3saMIQnNctxMVhj,1,5,0.901,0.454,0.344,0.0,0.129,-6.002,0.0316,0.209,133.329,4
6,Capital Letters,"Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,2018-01-12,single,[],219386,0,3towKHKVOXCCcL1fHv6xFO,1,0,0.0342,0.672,0.82,6.67e-06,0.0921,-5.473,0.0767,0.463,100.069,4
7,Before I Let Go - Homecoming Live Bonus Track,HOMECOMING: THE LIVE ALBUM,Beyoncé,6vWDO969PvNqNYHIOW5v0m,2019-04-16,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",240776,47,3FUXVbi9ugVUqJ3rPrfd2G,0,6,0.0699,0.71,0.844,0.0,0.354,-5.589,0.0968,0.469,103.009,4
8,Too Much (feat. Timbaland),Too Much (feat. Timbaland),ZAYN,5ZsFI1h6hIdQRw2ti0hz81,2018-08-02,single,[],185790,0,7jhlKPpAUqgV1m6AOTO19U,1,0,0.00434,0.446,0.635,0.000642,0.122,-4.476,0.0533,0.301,89.856,1
9,我們萬歲,L.O.V.E.,Eason Chan,2QcZxAgcs2I1q7CtCkl6MI,2018-12-12,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",236640,48,36zXp2vEis00HRdX3pYEMr,0,1,0.318,0.562,0.494,0.0,0.0961,-7.29,0.0289,0.556,76.058,4
