Position,Track Name,Artist,Streams,URL
1,Starboy,The Weeknd,23716,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,Last Christmas,Wham!,21584,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,It's Beginning to Look a Lot like Christmas,Michael Bublé,20326,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
4,Ef ég nenni,Helgi Björnsson,19403,https://open.spotify.com/track/0Dxbgb8aUV9EHOGJF4MXQy
5,Ég hlakka svo til,Svala,19287,https://open.spotify.com/track/7tnaA3OaJ3a6UfXkcgpaIe
6,Snjókorn falla,Laddi,19077,https://open.spotify.com/track/4h4pNMbBKfaIXyR9SY62Lm
7,Say You Won't Let Go,James Arthur,17310,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
8,I Feel It Coming,The Weeknd,16502,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
9,Jólin eru að koma,Í svörtum fötum,16449,https://open.spotify.com/track/1EOM0Hs4xjlfybpdkJYlGJ
10,Þú komst með jólin til mín,Ruth Reginalds,16109,https://open.spotify.com/track/2x4t2o6x5NVbR62v7BZPHG
11,All I Want for Christmas Is You,Mariah Carey,15970,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,15935,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
13,Fake Love,Drake,14569,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
14,Black Beatles,Rae Sremmurd,14568,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
15,Fröken Reykjavík,Friðrik Dór,14003,https://open.spotify.com/track/6YmjtvXrdpD1VUUW5hznQp
16,Lítur vel út,Aron Can,13753,https://open.spotify.com/track/39jfJXs2uYHmpU3zotxEkj
17,Það snjóar,Sigurður Guðmundsson,13627,https://open.spotify.com/track/2pMCNai7OshHyqb0wwQnO8
18,Let Me Love You,DJ Snake,13411,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
19,Eitt lítið jólalag,Birgitta Haukdal,13329,https://open.spotify.com/track/7iiP7OrzPN1JAkPKkJCThg
20,Reykjavík,Emmsjé Gauti,12857,https://open.spotify.com/track/4N2Xtuy20ewSeznRQcX6G4
21,Silfurskotta,Emmsjé Gauti,12795,https://open.spotify.com/track/7LyQvc6mjRxBS5XRC0bTHV
22,Gleðileg jól (allir saman),Eyjólfur Kristjánsson,12478,https://open.spotify.com/track/1XzdeTK7eQulR42YCb66La
23,Svona er þetta,Emmsjé Gauti,12235,https://open.spotify.com/track/1Lj3IxnXEMEULqW400cjio
24,Komdu um jólin,Gunnar Ólason,12122,https://open.spotify.com/track/7F5GSOxvcP06wDcYeRVmV1
25,Don't Wanna Know,Maroon 5,11528,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
26,Snæfinnur snjókarl,Björgvin Halldórsson,11484,https://open.spotify.com/track/3WKzPqbHjr3l0hflRHTOvZ
27,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,10980,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
28,Call On Me - Ryan Riback Extended Remix,Starley,10696,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
29,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,10568,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
30,Closer,The Chainsmokers,10409,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
31,One Dance,Drake,10294,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
32,Nú Mega Jólin Fara Fyrir Mér,Baggalútur,10291,https://open.spotify.com/track/31TVwUzPiMGzAo6YJfuTFi
33,Cold Water (feat. Justin Bieber & MØ),Major Lazer,10265,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
34,Jólasveinninn minn,Hljómar,9998,https://open.spotify.com/track/0cHpO9Gg7wslsnz1ALVize
35,Jólahjól,Sniglabandið,9546,https://open.spotify.com/track/3Ps8xWSv64Cx37gZRwzjjE
36,Santa Tell Me,Ariana Grande,9478,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T
37,Fairytale of New York (feat. Kirsty MacColl),The Pogues,9329,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
38,Nú mega jólin koma fyrir mér,Sigurður Guðmundsson,9326,https://open.spotify.com/track/0c1IZJa1ReeVZ5ZvOJwjih
39,The Greatest,Sia,9097,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
40,Heathens,Twenty One Pilots,9038,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
41,Someday At Christmas,Stevie Wonder,8919,https://open.spotify.com/track/4SoKhHMopURSMWCTkVriGl
42,Mistletoe,Justin Bieber,8810,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS
43,Mercy,Shawn Mendes,8624,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
44,24K Magic,Bruno Mars,8611,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
45,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,8600,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
46,Hugurinn fer hærra,Íslensku dívurnar,8406,https://open.spotify.com/track/5gi2afTiRuhuQhgFQrGrN9
47,All I Want for Christmas Is You,Michael Bublé,8349,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ
48,It's the Most Wonderful Time of the Year,Andy Williams,8329,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
