Position,Track Name,Artist,Streams,URL
1,Look What You Made Me Do,Taylor Swift,152766,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,Shape of You,Ed Sheeran,146292,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,打上花火,DAOKO,144454,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ
4,Friends (with BloodPop®),Justin Bieber,110832,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
5,Despacito - Remix,Luis Fonsi,105296,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
6,2U (feat. Justin Bieber),David Guetta,88424,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
7,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,86246,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
8,Mama,Jonas Blue,86066,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
9,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85868,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
10,Without You (feat. Sandro Cavazza),Avicii,84193,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
11,New Rules,Dua Lipa,82126,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,TT - Japanese ver.,TWICE,77196,https://open.spotify.com/track/0PAyiPTz8gL0udQnSasc5G
13,Sorry Not Sorry,Demi Lovato,75193,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
14,Attention,Charlie Puth,73394,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
15,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,71660,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
16,Something Just Like This,The Chainsmokers,70552,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
17,Mi Gente,J Balvin,70507,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
18,Unforgettable,French Montana,70289,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
19,There's Nothing Holdin' Me Back,Shawn Mendes,70222,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
20,Your Song,Rita Ora,69528,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
21,Stay (with Alessia Cara),Zedd,65537,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
22,Havana,Camila Cabello,65184,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
23,My Boo,Shota Shimizu,63347,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
24,More Than You Know,Axwell /\ Ingrosso,62988,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
