Position,Track Name,Artist,Streams,URL
1,Starboy,The Weeknd,22429,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,I Feel It Coming,The Weeknd,20136,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18477,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,18407,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
5,Closer,The Chainsmokers,15045,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
6,Call On Me - Ryan Riback Extended Remix,Starley,15042,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
7,Don't Wanna Know,Maroon 5,14454,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
8,Just Hold On,Steve Aoki,14051,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
9,Let Me Love You,DJ Snake,13510,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
10,All I Want for Christmas Is You,Mariah Carey,12579,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,Last Christmas,Wham!,12448,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
12,Black Beatles,Rae Sremmurd,12375,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
13,Fake Love,Drake,11367,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
14,Say You Won't Let Go,James Arthur,11152,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
15,Tuesday,Burak Yeter,11047,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
16,All We Know (feat. Phoebe Ryan),The Chainsmokers,10763,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
17,The Greatest,Sia,10710,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
18,Bad Things (with Camila Cabello),Machine Gun Kelly,10468,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
19,All Night,The Vamps,10393,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
20,Love Me Now,John Legend,10288,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
21,Now and Later,Sage The Gemini,10234,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS
22,Starving,Hailee Steinfeld,10088,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
23,Alone,Alan Walker,10003,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
24,In the Name of Love,Martin Garrix,9365,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
25,My Way,Calvin Harris,9200,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
26,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,9114,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
27,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,8859,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
28,Sunset Lover,Petit Biscuit,8679,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
29,One Dance,Drake,8570,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
30,The Mack,Nevada,8555,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
31,I Would Like,Zara Larsson,8506,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
32,Side To Side,Ariana Grande,8452,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
33,By Your Side,Jonas Blue,8375,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
34,Weak,AJR,8332,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
35,24K Magic,Bruno Mars,8325,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
36,Hear Me Now,Alok,8126,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
37,Heathens,Twenty One Pilots,8078,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
38,It's the Most Wonderful Time of the Year,Andy Williams,8074,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
39,Shed a Light,Robin Schulz,8062,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
40,Jingle Bell Rock,Bobby Helms,7951,https://open.spotify.com/track/1cImYkHOQMFE7AZC9aOk4y
41,"How Far I'll Go - From ""Moana""",Alessia Cara,7752,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
42,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,7676,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
43,Lot to Learn,Luke Christopher,7415,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2
44,Cold Water (feat. Justin Bieber & MØ),Major Lazer,7343,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
45,Mercy,Shawn Mendes,7296,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
46,Dynamite (feat. Pretty Sister),Nause,7224,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
47,It's Beginning to Look a Lot like Christmas,Michael Bublé,7142,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
48,Scars To Your Beautiful,Alessia Cara,6924,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
49,Lighthouse - Andrelli Remix,Hearts & Colors,6847,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
50,Party Monster,The Weeknd,6824,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
51,All Time Low,Jon Bellion,6765,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
52,Make Me (Cry),Noah Cyrus,6684,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
53,Merry Christmas Everyone - Remastered,Shakin' Stevens,6614,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
54,Setting Fires,The Chainsmokers,6538,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
55,Dviese,Vaidas Baumila,6417,https://open.spotify.com/track/7BjOziubQCAf84ss6Si1ce
56,Light,San Holo,6234,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
57,Blue Christmas,Elvis Presley,6163,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
58,Solo Dance,Martin Jensen,6159,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
59,I Got You,Bebe Rexha,6036,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
60,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,5922,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3
61,Sexual,NEIKED,5903,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
62,Taped up Heart (feat. Clara Mae),KREAM,5866,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA
63,Feliz Navidad,José Feliciano,5793,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
64,Not Going Home,DVBBS,5789,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
65,Wake Up Where You Are,State of Sound,5752,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE
66,in my miNd,Maty Noyes,5721,https://open.spotify.com/track/0F1Rc18rZcJOALxIIQPTYd
67,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,5676,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
68,Capsize,FRENSHIP,5494,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
69,Water Under the Bridge,Adele,5441,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
70,White Christmas,Bing Crosby,5346,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
71,Cheap Thrills,Sia,5339,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
72,Treat You Better,Shawn Mendes,5321,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
73,Don't Let Me Down (feat. Daya),The Chainsmokers,5302,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
74,Miss You,James Hersey,5283,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje
75,The Ocean (feat. Shy Martin),Mike Perry,5280,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
76,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5202,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
77,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,5018,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
78,Human,Rag'n'Bone Man,4907,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
79,Oh Lord,MiC LOWRY,4828,https://open.spotify.com/track/1sTUEdVO85YU8Ymk2jeAls
80,Somebody Else,VÉRITÉ,4796,https://open.spotify.com/track/34i4yxPrHWquuR4kjiivFO
81,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,4640,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
