Position,Track Name,Artist,Streams,URL
1,Starboy,The Weeknd,9469,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,8430,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
3,All I Want for Christmas Is You,Mariah Carey,8337,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,Last Christmas,Wham!,7919,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,Closer,The Chainsmokers,7625,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
6,Let Me Love You,DJ Snake,7339,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6708,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,Say You Won't Let Go,James Arthur,6552,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
9,Call On Me - Ryan Riback Extended Remix,Starley,6408,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
10,I Feel It Coming,The Weeknd,6007,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
11,Black Beatles,Rae Sremmurd,6007,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
12,Don't Wanna Know,Maroon 5,6007,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
13,Fake Love,Drake,5854,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
14,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,5568,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
15,The Greatest,Sia,5328,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
16,Just Hold On,Steve Aoki,5264,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
17,One Dance,Drake,5073,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
18,In the Name of Love,Martin Garrix,5016,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
19,It's the Most Wonderful Time of the Year,Andy Williams,4949,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
20,Mercy,Shawn Mendes,4645,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
21,Love Me Now,John Legend,4534,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
22,24K Magic,Bruno Mars,4501,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
23,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4380,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
24,Jingle Bell Rock,Bobby Helms,4376,https://open.spotify.com/track/1cImYkHOQMFE7AZC9aOk4y
25,Now and Later,Sage The Gemini,4333,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS
26,Heathens,Twenty One Pilots,4269,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
27,It's Beginning to Look a Lot like Christmas,Michael Bublé,4165,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
28,Feliz Navidad,José Feliciano,4152,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
29,Blue Christmas,Elvis Presley,4123,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
30,All We Know (feat. Phoebe Ryan),The Chainsmokers,4122,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
31,Starving,Hailee Steinfeld,4059,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
32,My Way,Calvin Harris,4041,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
33,All Night,The Vamps,3759,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
34,Bad Things (with Camila Cabello),Machine Gun Kelly,3681,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
35,The Mack,Nevada,3637,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
36,Scars To Your Beautiful,Alessia Cara,3612,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
37,Human,Rag'n'Bone Man,3589,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
38,Don't Let Me Down (feat. Daya),The Chainsmokers,3531,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
39,Treat You Better,Shawn Mendes,3430,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
40,White Christmas,Bing Crosby,3429,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
41,Side To Side,Ariana Grande,3411,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
42,I Would Like,Zara Larsson,3351,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
43,Merry Christmas Everyone - Remastered,Shakin' Stevens,3296,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
44,By Your Side,Jonas Blue,3291,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
45,Cheap Thrills,Sia,3258,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
46,Lot to Learn,Luke Christopher,3235,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2
47,Sunset Lover,Petit Biscuit,3182,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
48,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,3064,https://open.spotify.com/track/6IeK3Ap5m3HabwJxgI6eSE
49,Shed a Light,Robin Schulz,3057,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
50,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3002,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3
51,Weak,AJR,2991,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
52,Party Monster,The Weeknd,2948,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
53,"How Far I'll Go - From ""Moana""",Alessia Cara,2908,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
54,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2888,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
55,Alone,Alan Walker,2771,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
56,Chantaje (feat. Maluma),Shakira,2764,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
57,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2659,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
58,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,2641,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
59,Happy Xmas (War Is Over),Céline Dion,2627,https://open.spotify.com/track/1wur1SW656paPv7EyTqWu4
60,My Only Wish (This Year),Britney Spears,2504,https://open.spotify.com/track/7aiVBCp1ibIWE5GeHkbtxr
61,The Christmas Song (Merry Christmas To You),Nat King Cole,2480,https://open.spotify.com/track/5humEOJehpAwMJEJmb0JJ2
62,Sleigh Ride,Phil Spector,2473,https://open.spotify.com/track/7wiESxCGoUkRdgZF2JOLZu
63,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2467,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
64,Mary's Boy Child / Oh My Lord,Boney M.,2421,https://open.spotify.com/track/6YnzBV7YkaXZNCK3tlnCfg
65,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,2334,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
66,Sexual,NEIKED,2325,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
67,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2292,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
68,Light,San Holo,2292,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
69,Carol of the Bells,Mykola Dmytrovych Leontovych,2291,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
70,Bad and Boujee (feat. Lil Uzi Vert),Migos,2290,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
71,All Time Low,Jon Bellion,2256,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
72,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2243,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
73,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2243,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
74,Panda,Desiigner,2239,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
75,Setting Fires,The Chainsmokers,2226,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
76,Hallelujah,Pentatonix,2220,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
77,Deja Vu,J. Cole,2219,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
78,The Ocean (feat. Shy Martin),Mike Perry,2211,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
79,Solo Dance,Martin Jensen,2194,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
80,8 Days of Christmas,Destiny's Child,2157,https://open.spotify.com/track/3WrG9BpOPQWUus3FjA1Tny
81,Lighthouse - Andrelli Remix,Hearts & Colors,2153,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
82,Do They Know It's Christmas? - 1984 Version,Band Aid,2137,https://open.spotify.com/track/1hvpDAxZPKjKztOc72sv06
83,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,2136,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
84,Have Yourself a Merry Little Christmas,Christina Aguilera,2119,https://open.spotify.com/track/0iV9yfj1knFNOSEiuTHZwl
85,Ride,Twenty One Pilots,2112,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
86,All I Want for Christmas Is You,Michael Bublé,2110,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ
87,Run Rudolph Run - Single Version,Chuck Berry,2099,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
88,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2094,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
89,Chöre,Mark Forster,2076,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v
90,White Christmas (with Shania Twain),Michael Bublé,2072,https://open.spotify.com/track/2gbCG4Rt9984UZ7Tc0dIFd
91,A Holly Jolly Christmas - Single Version,Burl Ives,2064,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
92,Winter Wonderland,Tony Bennett,2061,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
93,Faded,Alan Walker,2058,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
94,Too Good,Drake,2048,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
95,Perfect Strangers,Jonas Blue,2036,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u
96,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,2032,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
97,Wake Up Where You Are,State of Sound,2012,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE
98,Christmas (Baby Please Come Home),Darlene Love,1998,https://open.spotify.com/track/46pF1zFimM582ss1PrMy68
99,"Merry Christmas, Happy Holidays",*NSYNC,1991,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR
100,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,1986,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
101,Shake up Christmas,Train,1939,https://open.spotify.com/track/10JBIfvldDR2TnT5sphGc2
102,Fast Car,Jonas Blue,1934,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
103,Hear Me Now,Alok,1925,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
104,This Is What You Came For (feat. Rihanna),Calvin Harris,1898,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
105,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,1885,https://open.spotify.com/track/4qBejt9FeqLI9blHI1Nq1x
106,7 Years,Lukas Graham,1884,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
107,Dynamite (feat. Pretty Sister),Nause,1883,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
108,Santa Tell Me,Ariana Grande,1866,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T
109,Hymn for the Weekend - Seeb Remix,Coldplay,1865,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
110,I Got You,Bebe Rexha,1864,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
111,Holly Jolly Christmas,Michael Bublé,1861,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
112,Not Going Home,DVBBS,1845,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
113,Make Me (Cry),Noah Cyrus,1842,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
114,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1837,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
115,Stressed Out,Twenty One Pilots,1835,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
116,When a Child Is Born (Soleado) (feat. Johnny Mathis),Gladys Knight & The Pips,1820,https://open.spotify.com/track/6qPI3aH7jpx8dQ6UwQ2dX4
117,Santa Claus Is Coming to Town,Michael Bublé,1817,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
118,Controlla,Drake,1804,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
119,Winter Wonderland,Bing Crosby,1775,https://open.spotify.com/track/5VEuraNSVxMTzDTtrmL3lQ
120,"Baby, It's Cold Outside (feat. Darren Criss)",Glee Cast,1774,https://open.spotify.com/track/5ud4C9PMcwOUnkk4AVE25V
