Position,Track Name,Artist,Streams,URL
1,Starboy,The Weeknd,19248,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,14451,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
3,Closer,The Chainsmokers,14306,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,13660,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
5,I Feel It Coming,The Weeknd,12714,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
6,All I Want for Christmas Is You,Mariah Carey,12554,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,Black Beatles,Rae Sremmurd,12472,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
8,Last Christmas,Wham!,11779,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
9,Let Me Love You,DJ Snake,11536,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
10,Call On Me - Ryan Riback Extended Remix,Starley,11347,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
11,Say You Won't Let Go,James Arthur,11232,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
12,Don't Wanna Know,Maroon 5,10925,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
13,Just Hold On,Steve Aoki,10616,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
14,Fake Love,Drake,10514,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
15,All We Know (feat. Phoebe Ryan),The Chainsmokers,10483,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
16,Tuesday,Burak Yeter,10363,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
17,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,9783,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
18,It's the Most Wonderful Time of the Year,Andy Williams,9671,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
