Position,Track Name,Artist,Streams,URL
1,Chantaje (feat. Maluma),Shakira,273639,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,270856,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
3,Otra vez (feat. J Balvin),Zion & Lennox,241239,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,232250,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
5,Vente Pa' Ca (feat. Maluma),Ricky Martin,208696,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
6,Let Me Love You,DJ Snake,200383,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
7,Shaky Shaky,Daddy Yankee,189074,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
8,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,184331,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
9,La Bicicleta,Carlos Vives,183908,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
10,24K Magic,Bruno Mars,159583,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
11,Starboy,The Weeknd,154970,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
12,One Dance,Drake,154310,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
13,Andas En Mi Cabeza,Chino & Nacho,152388,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
14,Closer,The Chainsmokers,148322,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
15,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,145494,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
16,Dile Que Tu Me Quieres,Ozuna,143628,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
17,Don't Wanna Know,Maroon 5,142116,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
18,Traicionera,Sebastian Yatra,138834,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
19,Chillax (feat. Ky-Mani Marley),Farruko,134015,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
20,Me llamas (feat. Maluma) - Remix,Piso 21,120765,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,118203,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
22,Desde Esa Noche (feat. Maluma),Thalía,116165,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
23,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,112876,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
24,My Way,Calvin Harris,109819,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
25,Borro Cassette,Maluma,106977,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
26,In the Name of Love,Martin Garrix,106172,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
27,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,104292,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
28,Don't Let Me Down (feat. Daya),The Chainsmokers,99357,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
29,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,97832,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
30,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,96824,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
31,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,96242,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
32,Side To Side,Ariana Grande,91709,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
33,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,90678,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
34,Gyal You A Party Animal - Remix,Charly Black,84351,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
