index,Unnamed: 0,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,0,Noticed,Noticed,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,2018-07-20,single,[],165000,0,7d6XJZjnm7iWcKwYL9z5kC,1,11,0.462,0.6990000000000001,0.5579999999999999,0.0,0.11599999999999999,-7.622000000000001,0.0603,0.493,79.992,4
1,1,Somebody To Love - 2011 Mix,A Day At The Races (Deluxe Remastered Version),Queen,1dfeR4HaWDbWqFHLkxsg1d,1976-12-10,album,"['CA', 'US']",296493,68,6cFZ4PLC19taNlpl9pbGMf,1,8,0.19,0.49700000000000005,0.693,0.0,0.215,-7.024,0.0565,0.358,111.539,3
2,2,RAP DEVIL,BINGE,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,2018-09-21,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",281586,65,43TP6JCWXgkc2D7Xjz5hBr,0,9,0.215,0.8959999999999999,0.8340000000000001,3.92e-06,0.184,-4.6819999999999995,0.23800000000000002,0.7759999999999999,149.968,4
3,3,Power is Power (feat. The Weeknd & Travis Scott),For The Throne (Music Inspired by the HBO Series Game of Thrones),Game of Thrones,22JdJVovP3pV9XkGTih01c,2019-04-26,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",211266,69,4cbdPT6uaBOgOQe3fLMofl,1,4,0.00413,0.507,0.644,0.0,0.217,-7.485,0.0641,0.172,179.91299999999998,4
4,4,Feel Me,Rare (Bonus Track Version),Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,2020-01-10,album,[],226002,10,4MdcsdRj7i8eBm0qFjO4L4,0,2,0.44,0.71,0.8079999999999999,0.000773,0.0734,-6.702999999999999,0.0433,0.392,99.98899999999999,4
5,5,Wow.,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,album,[],149546,0,2ve5NyzWHUbIYxL33goCX7,0,11,0.136,0.8290000000000001,0.539,1.78e-06,0.10300000000000001,-7.359,0.20800000000000002,0.38799999999999996,99.96,4
6,6,when the party's over - Recorded at Spotify Studios NYC,Spotify Singles,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-06-12,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",232837,71,6H7fWtwEUHVfTyZD7zeG4w,1,10,0.946,0.509,0.183,0.0,0.0914,-10.27,0.0377,0.258,117.354,3
7,7,Fresh Eyes,The Good Parts,Andy Grammer,2oX42qP5ineK3hrhBECLmj,2017-12-01,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",198001,68,5NDUXbMwcnTQp66tI2zcdR,1,0,0.5479999999999999,0.828,0.56,3.66e-05,0.15,-6.685,0.0327,0.872,122.054,4
8,8,Chun-Li,Chun-Li,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2018-04-12,single,[],191605,1,2gTYVoQCUh0QNUaFix01ld,0,6,0.307,0.643,0.7659999999999999,1.3800000000000002e-05,0.107,-4.788,0.384,0.46299999999999997,97.09200000000001,4
9,9,Don't Leave Me Alone (feat. Anne-Marie),7,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2018-09-14,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'UY', 'VN', 'XK', 'ZA']",183746,60,2zy9TMoZlYGuCNY4TLqG24,0,4,0.177,0.6940000000000001,0.617,0.0,0.11,-7.837999999999999,0.0469,0.496,127.928,4
