index,Unnamed: 0,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,0,Close,Last Year Was Complicated,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,2016-06-10,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",234213,70,3lSDIJ2abCrOdDJ6pshUap,0,6,0.253,0.654,0.623,0.0,0.14400000000000002,-5.273,0.08199999999999999,0.401,123.99600000000001,4
1,1,Psycho!,Psycho!,MASN,4HAfqyKr4Sqtab6ttHWXgE,2019-01-17,single,[],197217,13,4sSu9BtWSCWRNjGD2AvqbG,1,7,0.433,0.868,0.365,0.0,0.207,-9.51,0.0383,0.47100000000000003,114.979,4
2,2,Thunderclouds,Thunderclouds,Sia,5WUlDfRSoLAfcVSX1WnrxN,2018-08-09,single,[],187026,2,5a8RPWgKSmcGBGcffmIrUi,1,7,0.0085,0.691,0.716,9.06e-06,0.263,-5.985,0.0351,0.507,112.035,4
3,3,Something Good,Something Good,Getter Jaani,10pMyCRhDkBpyuc38QOlKf,2017-06-30,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'UY', 'VN', 'XK', 'ZA']",188478,12,7uGO405iVuGsAzGjsEGuyN,1,0,0.361,0.679,0.768,0.19699999999999998,0.2,-5.513,0.0295,0.6459999999999999,119.95100000000001,4
4,4,Something Human,Something Human,Muse,12Chz98pHFMPJEknJQMWvI,2018-07-19,single,[],226797,0,2kPQFWoXuRz6jNsEo48Inm,1,9,0.06,0.589,0.903,0.00446,0.124,-4.834,0.0526,0.541,105.006,4
5,5,Naabrid,Rämmar,5MIINUST,6acByqWJeuaM0TX5VoY6an,2017-05-01,album,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'ZA']",215360,28,6O9nfayzAqdnUcMVaLiIgG,0,4,0.0112,0.8059999999999999,0.845,0.0,0.21,-6.047999999999999,0.175,0.5329999999999999,110.023,4
6,6,Kui sa küsinud oleks,Andrus Elbing,Beebilõust,3PqYOfpDhHZcYxHw4gnJHS,2019-04-13,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",144195,16,3Ka6jqtFLYPFKgZu2BMrNU,1,10,0.516,0.75,0.547,0.0,0.12,-12.659,0.452,0.295,82.56700000000001,5
7,7,What's the Use?,Swimming,Mac Miller,4LLpKhyESsyAXpc4laK94U,2018-08-03,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",288640,71,2dgrYdgguVZKeCsrVb9XEs,0,1,0.736,0.759,0.49200000000000005,0.009890000000000001,0.107,-10.338,0.12,0.561,104.97399999999999,4
8,8,Chill,Chill,Magni_pt,3NoYNsg8WwcXfErIhGfrNP,2020-04-03,single,[],189648,39,2aOCLc4kW6vygUXEsV1XfB,1,7,0.0628,0.809,0.27399999999999997,0.7809999999999999,0.111,-16.784000000000002,0.0736,0.711,133.047,4
9,9,Look At Her Now,Rare,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,2020-01-10,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",162595,75,7eOkHIcaoUhngxxypM5Ajr,0,10,0.114,0.753,0.564,0.0273,0.359,-7.9079999999999995,0.252,0.55,77.342,5
