index,Unnamed: 0,name,album_name,artist_name,artist_id,album_release_date,album_type,available_markets,length,popularity,trackid,mode,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,0,New Year’s Day,reputation,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2017-11-10,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",235466,64,7F5oktn5YOsR9eR5YsFtqb,1,0,0.9209999999999999,0.6609999999999999,0.151,0.0,0.13,-12.864,0.0354,0.23,94.92200000000001,4
1,1,"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)","Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",Famous Dex,0WOxhx4hikIsyF3CRPLC8W,2018-09-21,single,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",230408,52,0n22yqkitWec0PV6tibWEO,0,10,0.235,0.68,0.732,0.000174,0.0705,-7.108,0.27,0.8640000000000001,75.422,4
2,2,Believe,Revival,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2017-12-15,album,[],315346,0,2XDhuJvvx2wcIROXbfTTYr,0,1,0.166,0.8859999999999999,0.488,0.0,0.34299999999999997,-5.627999999999999,0.184,0.114,130.064,4
3,3,It's A Vibe,It's A Vibe,2 Chainz,17lzZA2AlOHwCwFALHttmp,2017-03-09,single,[],210400,0,1p5B1jJk75RAblZCTnzUTU,1,7,0.0313,0.8029999999999999,0.488,0.000285,0.11199999999999999,-7.564,0.18,0.5529999999999999,72.913,4
4,4,Arose,Revival,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2017-12-15,album,[],274626,0,0chdEzeIcgfNYbWJBpgvzR,0,4,0.182,0.612,0.904,0.0,0.17,-6.0760000000000005,0.429,0.555,75.801,4
5,5,Poke It Out (with Nicki Minaj),Die Lit,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,2018-05-11,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",269813,66,2rPSFKzGeqUWwfcCFVkkq3,1,9,0.0969,0.894,0.59,8.900000000000001e-06,0.32899999999999996,-5.716,0.221,0.5760000000000001,147.009,4
6,6,Where Were You In The Morning?,Where Were You In The Morning?,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2018-05-18,single,[],200613,0,5cuRYDNIcSu5noyXQpULKg,1,7,0.556,0.708,0.517,0.0,0.0992,-7.466,0.0618,0.457,87.992,4
7,7,I Know,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,2019-09-06,album,[],141413,0,2sfZgYusD8bBvB7qWekvSx,1,1,0.49700000000000005,0.6659999999999999,0.603,0.0,0.11199999999999999,-5.671,0.0763,0.262,102.94,4
8,8,Star Of The Show,Tangled Up (Deluxe),Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,2016-10-28,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",181200,57,63OQWdXMq0Pe6pRpWY5gO0,1,7,0.142,0.695,0.6409999999999999,0.0,0.131,-5.807,0.0261,0.664,101.97399999999999,4
9,9,Pure Cocaine,Street Gossip,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2018-11-30,album,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",154023,73,577YBGuskWkVDCxZrLRB4v,0,10,0.0012699999999999999,0.9640000000000001,0.48700000000000004,6.57e-06,0.115,-6.071000000000001,0.42100000000000004,0.107,127.05,4
